Issue key,Issue id,Parent id,Project key,Project name,Project type,Project lead,Project description,Project url,Custom field (Epic Name),Issue Type,Priority,Summary,Assignee,Custom field (Squad),Custom field (Team),Status,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Resolution,Custom field (Story Points)
EFDDH-731,7717411,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:BRS: 223 - 41 Data products auto publishing of DP to DPC and mesh,kakkarn,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,Done,5
EFDDH-730,7717409,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:BRS: 223 - 41 Data products solution design and documentation,kakkarn,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,Done,5
EFDDH-729,7716939,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223:Build: review out of scope items for CAD from conf to validate,kummarip,Black Panther Core,,To Do,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,,1
EFDDH-728,7716454,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Framework: 223 specific - Setting up working directory CLVR python,raja19,Black Panther Core,,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,2
EFDDH-727,7715240,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Build : Create DBT Models for CLVR 113 Missed Sqls,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,3
EFDDH-724,7709695,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Framework: 223 specific - Object_Fxn Variable for CLVR python,raja19,Black Panther Core,,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,2
EFDDH-723,7708205,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Build : DAG for CLVR,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,Done,3
EFDDH-721,7707309,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223:System Testing : CNF layer no data loaded,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,Resolved,
EFDDH-720,7707304,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223:XFM_T ST no data loaded ,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,Resolved,
EFDDH-719,7707295,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Bug,Low,ARF223: Build: CLVR - data is not loaded ,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,Resolved,
EFDDH-715,7702706,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223:Sourcing: Add new members to DGCP dev,chenc33,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,2
EFDDH-714,7702488,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Build : DAG for REF ,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,Done,1
EFDDH-712,7701877,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform: CD for dbt container from Base Container Repo,manyerel,Black Panther Core,,Story Done,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,,,,Done,3
EFDDH-711,7699057,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Firewall Rules for the VM's,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,,,,Done,2
EFDDH-710,7699050,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Unified DBT Profile for all environment ,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,Done,2
EFDDH-709,7699071,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Framework: 223 - Handling of duplicates from DGCP,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,Done,3
EFDDH-704,7698447,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:BRS: 223 - Create models for PSGL_GBF_RATE to CCY,kuberr,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,Done,5
EFDDH-703,7698446,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:BRS: 223 - CCY_CCY_CAL_PIVOT analysis and get sqls to build models,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,Done,5
EFDDH-702,7698444,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:BRS: 223 - functional testing defect triage and support ,kummarip,Black Panther Core,,Story in Progress,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,,,,,,5
EFDDH-698,7694785,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Pre-Setup for Orchestration Scenerios ,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,Done,3
EFDDH-697,7694782,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,VM Creation via Codefresh in Dev RegDH,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,Done,3
EFDDH-696,7694781,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,"GCP Foundation Change for CiDR/Subnet linkage to Our REGDH DEV ,ST ,SIT",mahajaa4,,,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,Done,3
EFDDH-695,7693962,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: SIT Deployment and Execution,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-694,7690614,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Build : Fix for CUAC_ACT_ID in ifc_T_CAPCISAU_CAPCUACD10,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,3
EFDDH-693,7690419,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Build : Deploy DAGs in SIT environment using TAG,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,3
EFDDH-691,7689908,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Build : remove UDFs with BQ functions ,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,Done,3
EFDDH-689,7689256,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Sourcing: 223 - Ref Data - 14 +1 files QR solution implementation ,thirunab,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,Done,5
EFDDH-687,7677825,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Update DAG Factory Boilerplate: One Boilerplate per Initiative,mahajaa4,,,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,2
EFDDH-685,7676361,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Unit Testing: UT Confluence Page Update,chenc33,Black Panther Core,,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,Done,2
EFDDH-684,7674754,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Build : Add location to REGDH_CNF_CLVR_PROCS,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,3
EFDDH-683,7674775,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Framework: 223 specific - Documentation Added for CLVR python in DAG Automation Page,raja19,Black Panther Core,,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,1
EFDDH-682,7673945,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Build : Rollover bsns_dt after each batch run - daily,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,Done,3
EFDDH-681,7670192,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Fix Logic : SQLfluff issue for linting,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,Done,2
EFDDH-680,7670188,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Azure AD app in prod SP,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,1
EFDDH-679,7670185,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Reviewing ADF Docs SSD ,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,Done,1
EFDDH-678,7670181,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Testing Production REGDH - DGCP SA Access,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,Done,2
EFDDH-677,7668007,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223:Framework: 223 specific - Dynamic env allocation for CLVR python ,raja19,Black Panther Core,,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,Done,3
EFDDH-675,7665156,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:Test: 223 - Test plan for ST,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,Done,5
EFDDH-674,7664923,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Build : Create DAG for CLVR Procs,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,Done,1
EFDDH-673,7665126,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Highest,ARF223:Framework: 223 specific - DAG creation for CLVR python ,raja19,Black Panther Core,,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,Done,3
EFDDH-672,7660486,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223: Build : Create macro for BQ CLVR Procs,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,Done,3
EFDDH-671,7658457,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Slim CI & Deployment in Dev,mahajaa4,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,Done,2
EFDDH-670,7657272,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_SEC_DRV_SECPRPTY_DUP_PROCESSING_PHY.sql,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-669,7657270,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_SEC_DRV_SEC3PRPTY_DUP_PROCESSING_PHY.sql,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-668,7657269,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_LOC_CAPCISAU_CAPADDR_PHY.sql,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Fixed,
EFDDH-666,7657267,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_CDPAU_ASSETDETAIL_PHY.sql,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Fixed,
EFDDH-665,7657266,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_CAPILPAU_LOANACCTD10_PRED_PRPS_EFS_PHY_HIST.sql,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Fixed,
EFDDH-664,7657263,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_CAPILPAU_LOANACCTD10_PRED_PRPS_EFS_PHY.sql,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Fixed,
EFDDH-663,7657262,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_ARFCLTEFS_VAL_CAP_ACCT_VALUATIONS_PHY.sql,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-662,7657059,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_ARFCLTEFS_VAL_APP_VALUATIONS_PHY.sql,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-661,7657057,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_ARBLS_CAPILPAU_PURPOSE_EFS_PHY.sql,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-660,7657054,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: xfm_t_APP_CAPILPAU_PURPOSE_EFS_PHY.sql,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-657,7655551,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform: Documention For Format Checks in Py & TF,manyerel,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,2
EFDDH-656,7655543,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,Platform: CD for Base Container Repo,manyerel,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,3
EFDDH-655,7655322,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,Platform:Build: Unified DAG for All environments,mahajaa4,,,Story Done,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,,,,Done,5
EFDDH-654,7655216,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,ARF223:System Testing,Epic,Medium,ARF223: System Testing,kummarip,Black Panther Core,,Epic Done,,,,,,,,,,,,,,,,,,,Done,
EFDDH-653,7653755,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223: Build : Check Merge functionality and fix any bugs,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,,Done,3
EFDDH-652,7651355,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223:BRS: 223 - SLAs page prep for ADF,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,Done,5
EFDDH-651,7651354,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223:BRS: 223 - NFR documentation for ADF,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,Done,5
EFDDH-650,7651351,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,High,ARF223:BRS: 223 - Document Business requirements page,kummarip,Black Panther Core,,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,,,,,,,,,,,,,,Done,5
EFDDH-648,7651005,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_SEC_VAL_PIVOT,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-647,7651003,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_SEC_PIVOT,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-646,7651002,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_SEC_DRV_PIVOT,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-645,7651000,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_PTY_PIVOT,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-644,7650997,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_PTY_LOC_PIVOT,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-643,7650996,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_PTY_GD_PIVOT,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-642,7650992,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_LOC_PIVOT,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-641,7650990,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_CCY_CCY_CAL_PIVOT,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-640,7650989,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_ARFCLTEFS_VAL_PIVOT,geesalan,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-639,7650988,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_ARFCLTEFS_PTY_PIVOT,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Fixed,
EFDDH-638,7650985,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_ARFCLTEFS_PIVOT,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Fixed,
EFDDH-637,7650982,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_ARFCLTEFS_DRV_PIVOT,xavierl,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Fixed,
EFDDH-636,7650980,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_ARBLS_VAL_PIVOT,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-635,7650979,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_ARBLS_SEC_VAL_PIVOT,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-634,7650976,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_ARBLS_SEC_PIVOT,dabkea,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-633,7650975,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_ARBLS_SEC_DRV_PIVOT,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
EFDDH-632,7650974,,EFDDH,Enterprise Finance and Data Domain Data hub ,software,kummarip,{testMod=true},,,Story,Low,ARF223: Unit Testing: cnf_t_ARBLS_SEC_DRV2_PIVOT,jillelam,Black Panther Core,,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,Done,
